Name,FavoritePizza,CurrentAge,HomeState,DegreeProgram,DataCareer,WhatYear,MathTest,EverAnalyzedData,CanYouCount,ToolsUsed,LikeMath,WonderingAboutSurvey
HZ,Hawaiian!,20,NY,Public Health,No,3rd Year (Junior),3,Yes,Yes,"Excel (or LibreOffice Sheets\, Google Sheets\, etc.)",Yes,Yes
MLE,Plain,19,New York,Public Health,No,2nd Year (Sophmore),3,Yes,Yes,"Excel (or LibreOffice Sheets\, Google Sheets\, etc.)",Yes,Yes
ME,"Plain cheese, but I'm slightly lactose intolerant so I don't have a real answer. Plain cheese seems right.",19,New York,Public Health,Maybe,2nd Year (Sophmore),3,Yes,Are you kidding? That's a question?,"Excel (or LibreOffice Sheets\, Google Sheets\, etc.),Matlab","I'm going to drop this course, because of this question.",No
BIC,not much of a pizza fan,20,Philippines,Public Health,No,3rd Year (Junior),3,Yes,Yes,"Excel (or LibreOffice Sheets\, Google Sheets\, etc.)","I'm going to drop this course, because of this question.",Yes
KW,pepperoni ,19,New York,Pre-PA,Maybe,2nd Year (Sophmore),3,Yes,Yes,"R,Python,Excel (or LibreOffice Sheets\, Google Sheets\, etc.),SAS",Yes,No
SS,cheese pizza,19,New York,Public Health,No,2nd Year (Sophmore),3,Yes,Yes,R,No,Yes
EK,jalapeno and onion pizza ,20,New York,Other,No,2nd Year (Sophmore),3,Yes,Yes,"Excel (or LibreOffice Sheets\, Google Sheets\, etc.)",No,Yes
MJ,Probably Hawaiian. Yes I am a firm believer of pineapple on pizza.,20,Not from the US. I am Jamaican,Pre-PA,No,2nd Year (Sophmore),3,Yes,Yes,"Excel (or LibreOffice Sheets\, Google Sheets\, etc.),Matlab",No,Yes
NE,"Mushroom, green pepper, cheese, tomato sauce, sausage. Gooey.",20,NY,Public Health,No,3rd Year (Junior),3,Yes,Yes,"Excel (or LibreOffice Sheets\, Google Sheets\, etc.)","I'm going to drop this course, because of this question.",No
NP,Pizza with vegan cheese,20,New York,Pre-PA,No,3rd Year (Junior),3,Yes,Yes,"Excel (or LibreOffice Sheets\, Google Sheets\, etc.)","I'm going to drop this course, because of this question.",Yes
AV,Plain Cheese,19,New Jersey,Public Health,No,2nd Year (Sophmore),3,Yes,Yes,"Matlab,Excel (or LibreOffice Sheets\, Google Sheets\, etc.)",Yes,Yes
